title, type
Blues	3000
Classic Rock	3000
Country	3000
Dance	3000
Disco	3000
Funk	3000
Grunge	3000
Hip-Hop	3000
Jazz	3000
Metal	3000
New Age	3000
Oldies	3000
Other	3000
Pop	3000
R&B	3000
Rap	3000
Reggae	3000
Rock	3000
Techno	3000
Industrial	3000
Alternative	3000
Ska	3000
Death Metal	3000
Pranks	3000
Soundtrack	3000
Euro-Techno	3000
Ambient	3000
Trip-Hop	3000
Vocal	3000
Jazz+Funk	3000
Fusion	3000
Trance	3000
Classical	3000
Instrumental	3000
Acid	3000
House	3000
Game	3000
Sound Clip	3000
Gospel	3000
Noise	3000
Alternative Rock	3000
Bass	3000
Soul	3000
Punk	3000
Space	3000
Meditative	3000
Instrumental Pop	3000
Instrumental Rock	3000
Ethnic	3000
Gothic	3000
Darkwave	3000
Techno-Industrial	3000
Electronic	3000
Pop-Folk	3000
Eurodance	3000
Dream	3000
Southern Rock	3000
Comedy	3000
Cult	3000
Gangsta	3000
Top 40	3000
Christian Rap	3000
Pop/Funk	3000
Jungle	3000
Native US	3000
Cabaret	3000
New Wave	3000
Psychadelic	3000
Rave	3000
Showtunes	3000
Trailer	3000
Lo-Fi	3000
Tribal	3000
Acid Punk	3000
Acid Jazz	3000
Polka	3000
Retro	3000
Musical	3000
Rock & Roll	3000
Hard Rock	3000
Folk	3000
Folk-Rock	3000
National Folk	3000
Swing	3000
Fast Fusion	3000
Bebob	3000
Latin	3000
Revival	3000
Celtic	3000
Bluegrass	3000
Avantgarde	3000
Gothic Rock	3000
Progressive Rock	3000
Psychedelic Rock	3000
Symphonic Rock	3000
Slow Rock	3000
Big Band	3000
Chorus	3000
Easy Listening	3000
Acoustic	3000
Humour	3000
Speech	3000
Chanson	3000
Opera	3000
Chamber Music	3000
Sonata	3000
Symphony	3000
Booty Bass	3000
Primus	3000
Porn Groove	3000
Satire	3000
Slow Jam	3000
Club	3000
Tango	3000
Samba	3000
Folklore	3000
Ballad	3000
Power Ballad	3000
Rhytmic Soul	3000
Freestyle	3000
Duet	3000
Punk Rock	3000
Drum Solo	3000
Acapella	3000
Euro-House	3000
Dance Hall	3000
Goa	3000
Drum & Bass	3000
Club-House	3000
Hardcore	3000
Terror	3000
Indie	3000
BritPop	3000
Negerpunk	3000
Polsk Punk	3000
Beat	3000
Christian Gangsta	3000
Heavy Metal	3000
Black Metal	3000
Crossover	3000
Contemporary C	3000
Christian Rock	3000
Merengue	3000
Salsa	3000
Thrash Metal	3000
Anime	3000
JPop	3000
SynthPop	3000
Electronica	3000
