id, href, title, newwindow, tooltip, role, ordinal, menueval
1	search	Advanced Search	0	Search for releases.	1	10
2	browsegroup	Groups	0 List	Browse by Group.	1	25
3	movies	Movies	0	Browse Movies.	1	40
4	upcoming	Theatres	0	Movies currently in theatres.	1	45
5	series	TV Series	0	Browse TV Series.	1	50
6	anime	Anime	0	Browse Anime	1	55
7	music	Music	0	Browse Music.	1	60
8	console	Console	0	Browse Games.	1	65
9	books	Books	0	Browse Books.	1	67
10	admin	Admin	0	Admin	2	70
11	cart	My Cart	0	Your Nzb cart.	1	75
12	myshows	My Shows	0	Your TV shows.	1	77
13	mymovies	My Movies	0	Your Movie Wishlist.	1	78
14	apihelp	API	0	Information on the API.	1	79
15	rss	RSS	0	RSS Feeds.	1	80
16	queue	My Queue	0	View Your Queue.	1 81	{if !$sabintegrated}-1{/if}
17	forum	Forum	0	Browse Forum.	1	85
18	login	Login	0	Login.	0	100
19	register	Register	0	Register.	0	110
20	newposterwall	New Releases	0	Newest Releases Poster Wall	1	11
21	content	Contents page	0	Administrator messages for users.	1	14
